id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00023,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.2436382,-68.84613165,"https://www.google.com/maps/search/?api=1&query=10.2436382,-68.84613165"
ems_00024,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24370837,-68.84620174,"https://www.google.com/maps/search/?api=1&query=10.24370837,-68.84620174"
ems_00025,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.246813,-68.8457744,"https://www.google.com/maps/search/?api=1&query=10.246813,-68.8457744"
ems_00026,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.2481948,-68.83658296,"https://www.google.com/maps/search/?api=1&query=10.2481948,-68.83658296"
ems_00027,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.2489972,-68.8356322,"https://www.google.com/maps/search/?api=1&query=10.2489972,-68.8356322"
ems_00028,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.2490665,-68.83550662,"https://www.google.com/maps/search/?api=1&query=10.2490665,-68.83550662"
ems_00029,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24973193,-68.83670919,"https://www.google.com/maps/search/?api=1&query=10.24973193,-68.83670919"
ems_00030,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24977338,-68.83678965,"https://www.google.com/maps/search/?api=1&query=10.24977338,-68.83678965"
ems_00031,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24630562,-68.85359023,"https://www.google.com/maps/search/?api=1&query=10.24630562,-68.85359023"
ems_00032,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24630565,-68.8489765,"https://www.google.com/maps/search/?api=1&query=10.24630565,-68.8489765"
