checked_at,aoi_id,feature_id,official_ems_damage_gra,official_ems_damage_percent,centroid_lat,centroid_lon,before_chip,after_chip,compare_chip,before_exists,after_exists,compare_exists,before_mean_rgb,after_mean_rgb,before_valid_pixel_ratio,after_valid_pixel_ratio,before_bytes,after_bytes,compare_bytes,automated_verdict,manual_alignment_review_required,vlm_spend_gate
2026-06-30T23:22:52Z,emsr884-aoi12-caraballeda,aoi12_v2_00136,Damaged,70,10.61408022,-66.86071442,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00136_before_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00136_after_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00136_before_after_compare.png,False,False,False,,,,,,,,skip_missing_before_chip,False,do_not_run_vlm_until_manual_alignment_review_passes
2026-06-30T23:22:52Z,emsr884-aoi12-caraballeda,aoi12_v2_00137,Possibly damaged,35,10.61525348,-66.85857073,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00137_before_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00137_after_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00137_before_after_compare.png,False,False,False,,,,,,,,skip_missing_before_chip,False,do_not_run_vlm_until_manual_alignment_review_passes
2026-06-30T23:22:52Z,emsr884-aoi12-caraballeda,aoi12_v2_00138,Possibly damaged,35,10.6153314,-66.85769951,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00138_before_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00138_after_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00138_before_after_compare.png,False,False,False,,,,,,,,skip_missing_before_chip,False,do_not_run_vlm_until_manual_alignment_review_passes
2026-06-30T23:22:52Z,emsr884-aoi12-caraballeda,aoi12_v2_00140,Damaged,70,10.61591795,-66.85369213,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00140_before_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00140_after_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00140_before_after_compare.png,False,False,False,,,,,,,,skip_missing_before_chip,False,do_not_run_vlm_until_manual_alignment_review_passes
2026-06-30T23:22:52Z,emsr884-aoi12-caraballeda,aoi12_v2_00141,Damaged,70,10.61593508,-66.8574822,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00141_before_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00141_after_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00141_before_after_compare.png,False,False,False,,,,,,,,skip_missing_before_chip,False,do_not_run_vlm_until_manual_alignment_review_passes
2026-06-30T23:22:52Z,emsr884-aoi12-caraballeda,aoi12_v2_00142,Damaged,70,10.61595053,-66.84834146,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00142_before_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00142_after_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00142_before_after_compare.png,True,True,True,116.438,169.356,0.9879,0.9879,78977,112824,198054,pass_automated_chip_qa_needs_manual_alignment_review,True,do_not_run_vlm_until_manual_alignment_review_passes
2026-06-30T23:22:52Z,emsr884-aoi12-caraballeda,aoi12_v2_00144,Damaged,70,10.61499339,-66.84357728,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00144_before_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00144_after_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00144_before_after_compare.png,True,True,True,110.434,148.712,0.9928,0.9928,74602,117832,201223,pass_automated_chip_qa_needs_manual_alignment_review,True,do_not_run_vlm_until_manual_alignment_review_passes
2026-06-30T23:22:52Z,emsr884-aoi12-caraballeda,aoi12_v2_00148,Damaged,70,10.6156715,-66.84658057,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00148_before_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00148_after_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00148_before_after_compare.png,True,True,True,94.823,152.978,0.9883,0.9883,72274,115495,194857,pass_automated_chip_qa_needs_manual_alignment_review,True,do_not_run_vlm_until_manual_alignment_review_passes
2026-06-30T23:22:52Z,emsr884-aoi12-caraballeda,aoi12_v2_00154,Possibly damaged,35,10.61661868,-66.84829174,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00154_before_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00154_after_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00154_before_after_compare.png,True,True,True,115.328,161.671,0.9876,0.9876,79213,115728,201493,pass_automated_chip_qa_needs_manual_alignment_review,True,do_not_run_vlm_until_manual_alignment_review_passes
2026-06-30T23:22:52Z,emsr884-aoi12-caraballeda,aoi12_v2_00155,Possibly damaged,35,10.61663722,-66.85408522,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00155_before_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00155_after_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00155_before_after_compare.png,False,False,False,,,,,,,,skip_missing_before_chip,False,do_not_run_vlm_until_manual_alignment_review_passes
2026-06-30T23:22:52Z,emsr884-aoi12-caraballeda,aoi12_v2_00156,Possibly damaged,35,10.61675453,-66.85639536,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00156_before_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00156_after_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00156_before_after_compare.png,False,False,False,,,,,,,,skip_missing_before_chip,False,do_not_run_vlm_until_manual_alignment_review_passes
2026-06-30T23:22:52Z,emsr884-aoi12-caraballeda,aoi12_v2_00157,Damaged,70,10.61711741,-66.8495808,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00157_before_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00157_after_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00157_before_after_compare.png,True,True,True,108.5,161.203,0.9883,0.9883,76255,111177,193868,pass_automated_chip_qa_needs_manual_alignment_review,True,do_not_run_vlm_until_manual_alignment_review_passes
2026-06-30T23:22:52Z,emsr884-aoi12-caraballeda,aoi12_v2_00158,Damaged,70,10.61716015,-66.85074033,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00158_before_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00158_after_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00158_before_after_compare.png,True,True,True,117.535,170.961,0.9807,0.9807,75018,112856,194591,pass_automated_chip_qa_needs_manual_alignment_review,True,do_not_run_vlm_until_manual_alignment_review_passes
2026-06-30T23:22:52Z,emsr884-aoi12-caraballeda,aoi12_v2_00159,Damaged,70,10.61726071,-66.84830551,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00159_before_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00159_after_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00159_before_after_compare.png,True,True,True,124.055,161.632,0.9872,0.9872,79719,116728,202905,pass_automated_chip_qa_needs_manual_alignment_review,True,do_not_run_vlm_until_manual_alignment_review_passes
2026-06-30T23:22:52Z,emsr884-aoi12-caraballeda,aoi12_v2_00160,Damaged,70,10.61727537,-66.85421555,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00160_before_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00160_after_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00160_before_after_compare.png,False,False,False,,,,,,,,skip_missing_before_chip,False,do_not_run_vlm_until_manual_alignment_review_passes
2026-06-30T23:22:52Z,emsr884-aoi12-caraballeda,aoi12_v2_00162,Damaged,70,10.6177936,-66.84957738,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00162_before_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00162_after_event.png,/data/chips/emsr884-aoi12-caraballeda/aoi12_v2_00162_before_after_compare.png,True,True,True,122.69,169.735,0.9883,0.9883,73047,110897,190595,pass_automated_chip_qa_needs_manual_alignment_review,True,do_not_run_vlm_until_manual_alignment_review_passes
