id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00329,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60874679,-67.02727336,"https://www.google.com/maps/search/?api=1&query=10.60874679,-67.02727336"
ems_00330,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,2,3,10.60881982,-67.02690543,"https://www.google.com/maps/search/?api=1&query=10.60881982,-67.02690543"
ems_00331,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60888319,-67.02851177,"https://www.google.com/maps/search/?api=1&query=10.60888319,-67.02851177"
ems_00332,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60889338,-67.02845075,"https://www.google.com/maps/search/?api=1&query=10.60889338,-67.02845075"
ems_00333,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.6083007,-67.02968518,"https://www.google.com/maps/search/?api=1&query=10.6083007,-67.02968518"
ems_00334,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.6085021,-67.0316609,"https://www.google.com/maps/search/?api=1&query=10.6085021,-67.0316609"
ems_00335,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60866479,-67.03153366,"https://www.google.com/maps/search/?api=1&query=10.60866479,-67.03153366"
ems_00336,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60880688,-67.03146579,"https://www.google.com/maps/search/?api=1&query=10.60880688,-67.03146579"
ems_00337,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60895499,-67.03170552,"https://www.google.com/maps/search/?api=1&query=10.60895499,-67.03170552"
ems_00338,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60899289,-67.03179412,"https://www.google.com/maps/search/?api=1&query=10.60899289,-67.03179412"
ems_00339,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.6090818,-67.0315501,"https://www.google.com/maps/search/?api=1&query=10.6090818,-67.0315501"
ems_00340,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60912342,-67.03081683,"https://www.google.com/maps/search/?api=1&query=10.60912342,-67.03081683"
ems_00341,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60915126,-67.02945766,"https://www.google.com/maps/search/?api=1&query=10.60915126,-67.02945766"
ems_00342,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60916799,-67.02951372,"https://www.google.com/maps/search/?api=1&query=10.60916799,-67.02951372"
ems_00343,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Destroyed,destroyed,100,Photo-interpretation,Building point,2,3,10.60893973,-67.02674998,"https://www.google.com/maps/search/?api=1&query=10.60893973,-67.02674998"
ems_00344,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60899355,-67.02811404,"https://www.google.com/maps/search/?api=1&query=10.60899355,-67.02811404"
ems_00345,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60908612,-67.02585359,"https://www.google.com/maps/search/?api=1&query=10.60908612,-67.02585359"
ems_00346,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,2,3,10.60909839,-67.02824758,"https://www.google.com/maps/search/?api=1&query=10.60909839,-67.02824758"
