id,damage_gra,damage_class,damage_percent,cd_value,obj_type,name,info,simplified,det_method,notation,source_layer,source_geometry,monitor_version,centroid_lat,centroid_lon,google_maps_url
monit01_00034,Destroyed,destroyed,100,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4755026,-68.21248711,"https://www.google.com/maps/search/?api=1&query=10.4755026,-68.21248711"
monit01_00035,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47452545,-68.20841435,"https://www.google.com/maps/search/?api=1&query=10.47452545,-68.20841435"
monit01_00036,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4745558,-68.21132485,"https://www.google.com/maps/search/?api=1&query=10.4745558,-68.21132485"
monit01_00037,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47461811,-68.20855227,"https://www.google.com/maps/search/?api=1&query=10.47461811,-68.20855227"
monit01_00038,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47472785,-68.20843593,"https://www.google.com/maps/search/?api=1&query=10.47472785,-68.20843593"
monit01_00039,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47979892,-68.20223262,"https://www.google.com/maps/search/?api=1&query=10.47979892,-68.20223262"
monit01_00040,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47985844,-68.20218367,"https://www.google.com/maps/search/?api=1&query=10.47985844,-68.20218367"
monit01_00041,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47995108,-68.20218358,"https://www.google.com/maps/search/?api=1&query=10.47995108,-68.20218358"
monit01_00042,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48647095,-68.2053783,"https://www.google.com/maps/search/?api=1&query=10.48647095,-68.2053783"
monit01_00043,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48664809,-68.21083677,"https://www.google.com/maps/search/?api=1&query=10.48664809,-68.21083677"
monit01_00044,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48754058,-68.20522865,"https://www.google.com/maps/search/?api=1&query=10.48754058,-68.20522865"
monit01_00045,Destroyed,destroyed,100,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48846282,-68.20635089,"https://www.google.com/maps/search/?api=1&query=10.48846282,-68.20635089"
monit01_00046,Destroyed,destroyed,100,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48848858,-68.20649475,"https://www.google.com/maps/search/?api=1&query=10.48848858,-68.20649475"
monit01_00047,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.48861765,-68.20282891,"https://www.google.com/maps/search/?api=1&query=10.48861765,-68.20282891"
monit01_00048,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4886298,-68.2072251,"https://www.google.com/maps/search/?api=1&query=10.4886298,-68.2072251"
monit01_00049,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4742268,-68.20171195,"https://www.google.com/maps/search/?api=1&query=10.4742268,-68.20171195"
monit01_00050,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47886875,-68.20128287,"https://www.google.com/maps/search/?api=1&query=10.47886875,-68.20128287"
monit01_00051,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4868716,-68.1974658,"https://www.google.com/maps/search/?api=1&query=10.4868716,-68.1974658"
monit01_00052,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4868909,-68.19721185,"https://www.google.com/maps/search/?api=1&query=10.4868909,-68.19721185"
