id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00040,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.487852586615384,-68.20301354584615,"https://www.google.com/maps/search/?api=1&query=10.487852586615384,-68.20301354584615"
ems_00041,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.4885518825,-68.206189575,"https://www.google.com/maps/search/?api=1&query=10.4885518825,-68.206189575"
ems_00042,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.489428506368421,-68.20575250694736,"https://www.google.com/maps/search/?api=1&query=10.489428506368421,-68.20575250694736"
ems_00043,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.490836332758622,-68.20297172931035,"https://www.google.com/maps/search/?api=1&query=10.490836332758622,-68.20297172931035"
ems_00044,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.488590325172414,-68.19744948551724,"https://www.google.com/maps/search/?api=1&query=10.488590325172414,-68.19744948551724"
ems_00045,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.489758839375,-68.19019855,"https://www.google.com/maps/search/?api=1&query=10.489758839375,-68.19019855"
ems_00046,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.489645115084747,-68.19484171610169,"https://www.google.com/maps/search/?api=1&query=10.489645115084747,-68.19484171610169"
ems_00047,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.48996069047619,-68.19783458190476,"https://www.google.com/maps/search/?api=1&query=10.48996069047619,-68.19783458190476"
ems_00048,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.490544233809524,-68.1971570095238,"https://www.google.com/maps/search/?api=1&query=10.490544233809524,-68.1971570095238"
ems_00049,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.49080887711111,-68.193067588,"https://www.google.com/maps/search/?api=1&query=10.49080887711111,-68.193067588"
